# cProfile cumulative time, top 50
         13387528 function calls (13291286 primitive calls) in 9.654 seconds

   Ordered by: cumulative time
   List reduced from 9517 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
3333/2478    0.038    0.000    0.264    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/pages/ultra_page.py:57(load)
    10382    0.036    0.000    0.036    0.000 {built-in method builtins.dir}
43748/43298    0.035    0.000    0.055    0.000 /home/ubuntu/repos/angr/angr/state_plugins/sim_action_object.py:21(_raw_ast)
       45    0.035    0.001    0.189    0.004 /home/ubuntu/repos/angr/angr/exploration/rust_state_sync.py:1526(_extract_symbolic_pages)
    93375    0.034    0.000    0.062    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/memory_mixin.py:26(__init__)
   129828    0.033    0.000    0.043    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/memory_mixin.py:38(category)
    93285    0.032    0.000    0.033    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/paged_memory_mixin.py:97(_page_kwargs)
188716/187190    0.032    0.000    0.036    0.000 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/cle/memory.py:366(backers)
   2360/2    0.032    0.000    9.656    4.828 {built-in method builtins.exec}
148466/147637    0.031    0.000    0.042    0.000 {built-in method __new__ of type object at 0xa43b40}
    89139    0.031    0.000    0.082    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/pages/refcount_mixin.py:47(release_shared)
   107910    0.030    0.000    0.030    0.000 /usr/lib/python3.12/weakref.py:133(__getitem__)


